id,hours,score
194495,0.5,16.620516833510955
192949,0.9,19.861295082173005
198095,1.2,18.88739334682668
182192,2.6,16.230041898446753
188512,3.4,19.311403181113004
182569,3.5,18.91587315923822
194398,3.6,19.843227602786776
196597,3.7,21.675922642719584
204071,4.0,19.066709490403692
195170,4.1,20.670995264438513
208783,4.2,19.871047304889533
188250,4.3,23.971143075983775
183032,4.6,21.2700230375691
185115,5.0,20.699563035423388
192755,5.0,22.138052134179503
188119,5.3,21.831793780188583
200254,5.4,23.915344580701415
192443,5.5,25.700284501274492
200727,5.6,26.836552870179567
187576,6.3,22.607181728418134
183873,7.4,25.913126393657883
180104,7.6,26.521856745901793
209900,7.7,23.668581987553992
207090,7.9,27.03176444989888
196190,8.6,28.155629169342514
206551,8.8,29.02206316654748
195281,9.2,25.265342605309296
180749,9.4,27.15204770338443
192775,9.6,26.522625472407896
190079,9.8,26.033770851880874
